Gene	K562 CS	K562 adjusted p-value
TINF2	-2.331	0.079114933
ZNF280A	-2.330	0.000515354
TXN2	-2.330	0.000619687
NHP2	-2.328	0.015416875
GPR45	-2.325	0.393652427
RRP12	-2.324	0.000465635
CHD4	-2.323	0.006187546
YAE1D1	-2.321	0.000306389
FBL	-2.321	0.01417158
CIAO1	-2.319	0.000106196
BSG	-2.318	0.002360211
BRIX1	-2.317	0.056286872
WDR26	-2.315	0.020143646
RPL7L1	-2.314	0.001644355
TBC1D3C	-2.314	0.040708756
PSMD2	-2.313	0.001212878
DCPS	-2.312	0.140558297
MED12	-2.311	0.002370869
PISD	-2.310	0.036710443
LSM7	-2.309	0.006153848
ALS2CL	-2.309	0.176429836
CTAGE4	-2.308	0.021489937
YDJC	-2.306	0.017916087
GCLC	-2.306	0.000188954
POLR3C	-2.304	0.011169565
YTHDC1	-2.303	0.002246764
SCO2	-2.301	0.010719723
WDR82	-2.301	0.023603764
PAM16	-2.301	0.020172403
INO80	-2.301	0.005802654
GPS1	-2.301	0.003185555
IDH3A	-2.299	0.003209511
NBPF16	-2.299	0.03407118
TUBGCP4	-2.298	0.042206161
NUDC	-2.296	0.002553177
CENPW	-2.290	0.005678506
RPP30	-2.288	0.02948965
TAF5	-2.288	0.055366386
PSMD3	-2.285	0.003896505
BCL2L1	-2.285	0.024100918
SLC16A1	-2.283	0.000809952
NUBP1	-2.282	0.004823009
PTPN1	-2.281	0.000514538
COL2A1	-2.279	0.058800803
OBFC1	-2.278	0.041233747
POP5	-2.278	0.091495478
SSBP1	-2.276	0.010268218
NUP98	-2.276	0.009275334
TIMM10	-2.276	0.010217507
CSTF1	-2.275	0.001718383
NPIPA5	-2.275	0.268009543
PSMC1	-2.273	0.008956985
PNO1	-2.267	0.027230485
CUL1	-2.266	0.107171699
MVK	-2.266	0.002127306
ATP6AP1	-2.263	0.00115167
SDHC	-2.263	0.000319064
TPM2	-2.262	0.055565591
RPL22	-2.259	0.024738925
OGFR	-2.258	0.084508016
EIF2B5	-2.254	0.076665004
COX17	-2.250	0.006179168
PGS1	-2.250	0.002205318
PPP2CA	-2.249	0.000322541
RRP1	-2.248	0.001361802
NLE1	-2.247	0.000321473
TRAPPC4	-2.247	0.185686577
C1orf109	-2.247	0.001520996
GOLGA6A	-2.247	0.090058806
DLST	-2.246	0.045973171
HNRNPK	-2.245	0.015374173
WDR75	-2.244	0.006494193
FDPS	-2.244	0.002570687
ADSS	-2.242	0.011228091
DDX55	-2.240	0.000950041
UTP15	-2.239	0.044682311
TMED10	-2.239	0.000483918
NOP10	-2.238	0.01064499
TUBGCP3	-2.236	0.027155241
P2RX6	-2.235	0.001514765
SDE2	-2.231	0.076374245
LTV1	-2.231	0.016239935
VWA7	-2.231	0.006696008
CACNA1S	-2.230	0.284880336
SLC25A51	-2.229	0.003601339
LENG1	-2.228	0.051243722
FCGR1B	-2.228	0.001690164
DHX38	-2.227	0.013769561
FAM92B	-2.222	0.002192652
LSM3	-2.222	3.76E-05
ILF2	-2.221	0.059678133
DGCR2	-2.221	0.001954272
HIST1H2AJ	-2.220	0.004345212
NAE1	-2.218	0.012178729
KAT8	-2.217	0.049559399
RPA3	-2.217	0.006909093
TTF2	-2.215	0.012501672
UTP6	-2.213	0.008392065
POP1	-2.211	0.015960045
SPCS2	-2.206	0.030000138
FAM78A	-2.205	0.000255125
PREB	-2.204	0.135514549
OTOF	-2.199	0.21170414
YRDC	-2.197	0.011715181
CCDC115	-2.197	0.017539863
GGA3	-2.196	0.037627666
PPWD1	-2.190	0.06451174
GTF3C4	-2.189	0.026799708
TOP3A	-2.187	0.104289978
SRSF10	-2.186	0.019746559
ANAPC4	-2.186	0.001313407
SNF8	-2.181	0.069738023
TAF6	-2.181	0.033767373
GPRIN2	-2.180	0.026877249
NEFM	-2.178	0.082069429
BAG6	-2.176	0.006723716
MRPS25	-2.176	0.001463725
FDXR	-2.176	0.000269734
MRPS35	-2.175	0.000217406
DIMT1	-2.175	0.014423624
MRPS6	-2.171	0.00035537
MRPL41	-2.170	0.010942994
KMT2A	-2.168	0.006393852
COX6B1	-2.168	0.065637696
ATP5B	-2.168	0.019746559
C10orf2	-2.164	7.42E-05
MMGT1	-2.162	0.000335167
RRP9	-2.161	0.043489106
YKT6	-2.160	0.007966694
PPP2R3C	-2.159	0.000402639
NUBP2	-2.159	0.119857434
CDC26	-2.158	0.050401258
SF3B1	-2.155	0.057597554
PDCD11	-2.155	0.000182863
TRMT6	-2.155	0.072226249
TRPM7	-2.155	0.001289091
SMG1	-2.153	0.0004812
EIF2AK4	-2.153	0.001048848
TAF6L	-2.149	0.002985874
TBATA	-2.149	0.048889406
TCF3	-2.149	0.028919972
FAM96B	-2.146	0.041341741
SLC6A17	-2.146	0.028580541
NUS1	-2.145	0.036377612
MRPS23	-2.145	0.304663892
ZC3H18	-2.142	0.007970911
SLC20A1	-2.139	0.004929619
ATP6V0D1	-2.139	0.071958686
MRPL43	-2.139	0.037660453
PPIE	-2.139	0.008392065
EIF3E	-2.137	0.027811173
PIK3C3	-2.136	0.000838425
TOMM40	-2.134	0.007340828
RILPL1	-2.133	0.146862815
TRIP12	-2.132	0.061012309
MPHOSPH10	-2.128	0.034461409
MYBL2	-2.127	0.005678506
CHORDC1	-2.127	0.002924273
MBTPS2	-2.125	0.003169212
GARS	-2.125	0.001494282
PPP1CA	-2.124	0.003593809
WDR1	-2.119	0.000772618
SF3B5	-2.118	0.450903575
ZNHIT3	-2.118	0.062648595
LARS2	-2.118	0.000441236
SPC25	-2.118	0.007662068
CCDC71L	-2.117	0.072384288
LIN52	-2.117	0.045283135
PSMA4	-2.117	0.002093404
GPC2	-2.116	0.266453713
ACTG2	-2.114	0.091745457
BRF2	-2.113	0.00091497
YLPM1	-2.112	0.531435946
NOL12	-2.109	0.00035537
SLC16A3	-2.109	0.20912441
ELL	-2.108	0.009257577
RGPD5	-2.108	0.085968657
RGPD6	-2.108	0.085968657
TBC1D3	-2.106	0.008095609
PMVK	-2.105	0.017680213
HSP90AB1	-2.103	0.020878387
EGR2	-2.101	0.139954928
ORC6	-2.099	0.004263389
CYB5B	-2.098	0.003715596
MRPL23	-2.097	0.002618576
NBPF15	-2.096	0.139954928
ROMO1	-2.096	0.002988013
FASTKD5	-2.095	0.060152638
TRIAP1	-2.094	0.024399741
POLR3D	-2.093	0.13038606
HNRNPL	-2.093	0.00276528
FARS2	-2.093	0.004995945
SBDS	-2.092	0.064273542
COX10	-2.089	0.061765685
RPL19	-2.087	0.063066921
LARS	-2.086	0.000300952
MTRNR2L8	-2.085	0.116260166
RPA2	-2.082	0.009581414
SCGB1C1	-2.081	0.002277018
XRN2	-2.080	0.00295924
CHGA	-2.079	0.02477991
CAPZB	-2.077	0.001741761
CRAMP1L	-2.074	0.334726367
NSMCE1	-2.074	0.008095609
NSL1	-2.074	0.026847217
TBC1D3F	-2.074	0.008095609
ISCA1	-2.073	0.023279125
EDC4	-2.072	0.000830751
CBWD1	-2.072	0.003991785
FAM86B2	-2.072	0.556650112
CNNM3	-2.071	0.299942987
CAPN9	-2.067	0.011212084
MYH9	-2.067	0.027362953
MRPL17	-2.066	0.001109014
SON	-2.065	0.036547366
SAP18	-2.064	0.061774206
SHFM1	-2.062	0.048832871
ALDOA	-2.062	0.006485309
WDR70	-2.060	0.002703864
NRBP1	-2.059	0.001707704
MRPS14	-2.059	0.014926354
ERH	-2.058	0.241520252
CSRNP1	-2.056	0.049959366
SKP1	-2.055	0.002435087
SART3	-2.051	0.004544821
GEMIN8	-2.048	0.012749562
ANKRD11	-2.046	0.020100914
YEATS2	-2.046	0.257217326
PPA1	-2.046	0.002162021
SKIV2L2	-2.045	0.063471599
PPAN	-2.042	0.002888234
PPAN-P2RY11	-2.042	0.002888234
TNPO1	-2.041	0.006458748
MED21	-2.040	0.095833286
NOL10	-2.039	0.018036692
NPAT	-2.039	0.000217406
CCNC	-2.038	0.007340828
TRAPPC3	-2.038	0.00215509
LSM11	-2.035	0.055797743
PSMB2	-2.034	0.009722415
FDX1L	-2.033	0.018695828
SLC7A4	-2.032	0.002443217
RFC4	-2.030	0.008625338
MDN1	-2.030	0.017627505
MDC1	-2.030	0.002553177
YIPF3	-2.029	0.026984426
DAP3	-2.027	0.001981715
MINOS1	-2.027	0.008507169
RPP38	-2.027	0.026766322
CUX2	-2.027	0.122611725
MRPS5	-2.027	0.006399846
HAUS7	-2.027	0.00324506
TOMM20	-2.026	0.004873471
PKMYT1	-2.025	0.003642907
COPZ1	-2.024	0.004913163
KRTAP2-1	-2.023	0.340550384
KRTAP2-2	-2.023	0.340550384
RFK	-2.023	0.024181765
TMEM63A	-2.023	0.342529049
MRPS18A	-2.018	0.017453808
ARMC7	-2.018	0.026847217
NUP88	-2.017	0.000973755
NUF2	-2.017	0.039089289
PPIA	-2.016	0.243701824
CHEK1	-2.016	0.014423624
TAF1	-2.015	0.002896046
MED8	-2.012	0.00402746
CENPK	-2.011	0.101405111
ECT2	-2.010	0.009046431
ORC1	-2.009	0.136427273
HIST1H2BL	-2.007	0.427232478
CTC1	-2.007	0.006696008
NDUFAB1	-2.004	0.019988698
ANAPC10	-2.004	0.003372495
HNRNPH1	-2.003	0.044935165
MMP17	-2.003	0.131054173
CUL9	-1.997	0.025250038
ARID3C	-1.996	0.193315485
COMT	-1.994	0.00112142
TEN1	-1.994	0.063778787
RNMT	-1.994	0.016786911
ZC3H4	-1.994	0.014423624
CLDN5	-1.993	0.017026807
NKAP	-1.992	0.074463426
MYOC	-1.986	0.086326036
GMPS	-1.985	0.001715035
TTC1	-1.982	0.00368266
PSMD8	-1.982	0.213096089
ATP6AP2	-1.979	0.004119984
EIF2B4	-1.978	0.007821094
SACM1L	-1.977	0.032647748
MRPL51	-1.977	0.004723982
ELP3	-1.976	0.003885273
EMC3	-1.975	0.016045151
RNPC3	-1.975	0.005139674
SRP54	-1.975	0.004517033
URB1	-1.974	0.029035922
PSMA5	-1.974	0.084440664
DHPS	-1.973	0.00401822
TRAPPC5	-1.968	0.0009622
MRPL53	-1.968	0.005983582
BCS1L	-1.967	0.000772618
MRPS18B	-1.967	0.002642539
WIPF3	-1.966	0.602576985
GNL3	-1.965	0.02563868
HDGFRP2	-1.963	0.180093017
ARHGEF4	-1.963	0.032500448
SPEN	-1.963	0.009903193
C3orf17	-1.960	0.010231555
FRMPD2	-1.960	0.009512227
RPS18	-1.958	0.003696298
EFR3A	-1.958	0.009008749
FTSJ3	-1.955	0.005163951
MRPL34	-1.954	0.010606028
KIAA0391	-1.954	0.005224816
MRPL21	-1.954	0.005767009
BCCIP	-1.951	0.014623935
MEX3C	-1.951	0.406399423
HIST1H2BN	-1.944	0.171384599
C11orf84	-1.944	0.132057608
RTF1	-1.943	0.007910344
TIMM23	-1.943	0.025074632
WAPAL	-1.942	0.096979877
IGF1R	-1.938	0.216735837
FCF1	-1.936	0.122586695
MRPL16	-1.934	0.001212878
GADD45GIP1	-1.932	0.00974932
C2orf27A	-1.932	0.075369267
EFS	-1.929	0.206845049
PRPF18	-1.927	0.132495447
GSC2	-1.927	0.00209771
CUL7	-1.926	0.144083553
DPAGT1	-1.926	0.010655889
ACTR8	-1.923	0.016445596
MEPCE	-1.923	0.001668223
SUN2	-1.923	0.357662271
TSR1	-1.922	0.020143646
DNASE2	-1.920	0.114763309
CCDC27	-1.916	0.422306134
TRUB2	-1.914	0.012893636
COPS5	-1.912	0.003762444
PTPN23	-1.912	0.001497264
AURKAIP1	-1.911	0.00235
AAAS	-1.910	0.048685567
L3MBTL2	-1.910	0.081790063
RTN4R	-1.907	0.00055395
ELP6	-1.906	0.001264441
ALYREF	-1.904	0.001185942
ZFPM1	-1.902	0.065520451
GEMIN4	-1.901	0.010886507
CCT8L2	-1.900	0.002650771
HIST2H2AA3	-1.898	0.001510019
HIST2H2AA4	-1.898	0.001510019
KANSL3	-1.898	0.006472408
KDM8	-1.898	0.000719293
TAF3	-1.897	0.000454226
WNK1	-1.897	0.028464091
MMS19	-1.896	0.015634638
TSEN54	-1.895	0.01107045
LIG1	-1.893	0.015418661
GOLGA6B	-1.893	0.631744282
RIMBP3C	-1.892	0.012812722
TRIM48	-1.892	0.017608217
ARHGEF35	-1.891	0.131086609
LAT	-1.890	0.355960296
VPS13D	-1.889	0.014623935
NPLOC4	-1.887	0.098673457
BCAM	-1.887	0.115046204
ZCCHC7	-1.886	0.002475041
MED24	-1.884	0.008683877
DLD	-1.882	0.027811173
R3HCC1	-1.881	0.56464319
NARS2	-1.880	0.001814319
TRAPPC11	-1.880	0.009392585
POLR2H	-1.880	0.01327376
ZBTB47	-1.879	0.029209755
TRIM28	-1.878	0.008507169
NOM1	-1.876	0.085819936
TAZ	-1.875	0.000834688
SNRPA1	-1.875	0.061774206
SERPIND1	-1.874	0.001008654
FGD5	-1.871	0.083182098
BRD2	-1.870	0.022302646
AGAP5	-1.868	0.057654364
MRPL12	-1.867	0.003892058
MED7	-1.867	0.004534099
PPP2R5B	-1.867	0.018519242
ARIH1	-1.865	0.027382846
CMIP	-1.864	0.016974973
MIS18A	-1.863	0.190337504
SLC39A5	-1.863	0.223990284
OIP5	-1.861	0.220421886
PPP1R18	-1.860	0.54352595
DNMT1	-1.860	0.007304365
NOTCH2NL	-1.859	0.002316
RBM22	-1.859	0.071764405
MRPS21	-1.858	0.002475041
SYNC	-1.857	0.096584483
MRPL10	-1.856	0.001728304
MCM4	-1.855	0.000878485
METTL3	-1.853	0.08116255
LSM4	-1.853	0.077335359
TMEM8A	-1.853	0.366118353
INTS4	-1.852	0.019801619
GINS4	-1.851	0.005480671
CHAF1A	-1.850	0.005865512
CPSF3L	-1.850	0.045213918
KIF23	-1.848	0.000229224
TADA3	-1.848	0.066294437
POTEG	-1.847	0.249324153
TBC1D31	-1.847	0.015069697
CCDC84	-1.846	0.002589028
MTOR	-1.844	0.00131243
PITRM1	-1.844	0.015954386
KIF20A	-1.844	0.017805014
RBBP6	-1.844	0.022241754
CACNA1A	-1.839	0.096859867
TEF	-1.839	0.319677158
C10orf55	-1.838	0.020569773
SEPT5	-1.837	0.030330802
SDHD	-1.835	0.173199238
STAC3	-1.835	0.063471599
UBTF	-1.835	0.251682734
ZBTB17	-1.834	0.563518898
VPS39	-1.834	0.058304277
PRAMEF16	-1.833	0.382186114
MGAT3	-1.832	0.021197011
PCBP1	-1.831	0.000483464
DDX3X	-1.831	0.27374416
SLBP	-1.830	0.100936439
PPP1R11	-1.828	0.233907967
RPL29	-1.826	0.042210657
STAG3	-1.825	0.109137718
MYO1G	-1.825	0.084138696
GCN1L1	-1.824	0.000523976
SUPT7L	-1.824	0.00159242
ATXN7L1	-1.823	0.267925002
UBE2S	-1.823	0.008683877
AHCTF1	-1.822	0.052303524
AGPAT5	-1.821	0.009286705
SEC16A	-1.820	0.117029047
ILF3	-1.819	0.00610658
BRD4	-1.818	0.290924577
RBBP5	-1.817	0.008172432
DDX6	-1.816	0.004913163
CASC3	-1.814	0.517308211
PSMG4	-1.814	0.022364346
POLA1	-1.813	0.016904406
MOCS3	-1.813	0.010349327
MKI67IP	-1.812	0.079014957
GTF2A2	-1.810	0.100676586
PGM3	-1.809	0.004448452
HIST1H2BB	-1.809	0.152700059
ALDH18A1	-1.807	0.000211641
TUBA1B	-1.807	0.12095914
COG4	-1.806	0.017608217
SUGP1	-1.805	0.036975163
DNAJC14	-1.804	0.017453808
SUMO2	-1.803	0.075762414
TMEM41A	-1.802	0.084816581
EIF3L	-1.801	0.012273369
MRPL28	-1.800	0.037426693
GTF2F2	-1.799	0.072874533
ZFP36	-1.797	0.042067337
EPB41L3	-1.796	0.352332325
SYF2	-1.795	0.055366386
ZNF22	-1.794	0.337315528
DENND2A	-1.794	0.305957096
RRP7A	-1.793	0.131178123
CDCA5	-1.793	0.007009866
TBCE	-1.791	0.144531406
KIAA1211	-1.791	0.263820675
SHOC2	-1.791	0.001814319
SLFNL1	-1.790	0.037660453
KANSL1	-1.789	0.004233977
PDRG1	-1.789	0.045960962
SEC61A2	-1.788	0.533201089
TANGO2	-1.788	0.025321288
TUBB8	-1.788	0.045857772
SCUBE1	-1.787	0.72984256
HIST1H2BE	-1.787	0.178025137
NOC3L	-1.786	0.010820838
VPS16	-1.785	0.004844359
CLTCL1	-1.785	0.004450821
RGP1	-1.783	0.031204826
TRIM73	-1.780	0.070457737
THAP7	-1.780	0.049959366
NDST2	-1.779	0.050151152
SCARF2	-1.778	0.007978654
FBXO28	-1.778	0.29595592
PAF1	-1.777	0.490793861
TTYH1	-1.776	0.331683269
DNAJC16	-1.774	0.158185156
EBNA1BP2	-1.773	0.015634638
AEBP1	-1.772	0.698818695
SP1	-1.771	0.007067159
LAIR1	-1.771	0.840385432
CHMP1A	-1.769	0.364376803
TRMT10C	-1.768	0.000905761
NFYC	-1.767	0.02061103
RAD51C	-1.767	0.001890827
APOBR	-1.766	0.151482828
FOXE3	-1.765	0.006887942
HIST1H2AI	-1.765	0.029902467
MED19	-1.765	0.125508571
TBCA	-1.765	0.004666095
FBXO41	-1.765	0.163835553
DDX19A	-1.761	0.058800803
VPS51	-1.760	0.085277333
AGAP6	-1.760	0.114198764
ZNF74	-1.759	0.005020896
C2orf27B	-1.758	0.159157897
DRGX	-1.758	0.030858831
RPF2	-1.757	0.101621585
MYO7A	-1.756	0.003467753
EMC1	-1.756	0.005678506
DOCK6	-1.755	0.047937706
NANOS1	-1.755	0.160458227
TBC1D3B	-1.754	0.040708756
SRP9	-1.754	0.023898925
HJURP	-1.753	0.009848512
SETD1B	-1.752	0.028116761
MAP2K3	-1.751	0.005568091
RIF1	-1.750	0.011212084
KIF3C	-1.750	0.235348237
CCT8	-1.748	0.0003317
MFAP1	-1.748	0.001081633
RPL36A	-1.748	0.503367581
EIF4G1	-1.746	0.027155241
PNPT1	-1.743	0.001866989
UTP14A	-1.743	0.036747357
C9orf163	-1.743	0.467424741
C11orf68	-1.742	0.292045711
GPN1	-1.741	0.033039886
PHGDH	-1.741	0.010044218
PSMB1	-1.741	0.003175262
C6orf1	-1.738	0.650437814
KEAP1	-1.736	0.04149991
NAA50	-1.734	0.157671188
COA3	-1.732	0.089372686
PRPF40B	-1.731	0.345875722
PET112	-1.731	0.117966982
ORC3	-1.730	0.039014279
DRD5	-1.728	0.318180359
MRPS34	-1.726	0.042415308
POLR3K	-1.724	0.040708756
CNOT3	-1.724	0.062668402
SNAP29	-1.723	0.000934989
EARS2	-1.721	0.032951354
SRCAP	-1.721	0.04173546
RAF1	-1.720	0.007004171
FEN1	-1.720	0.003231728
KIAA1432	-1.720	0.000517044
METTL14	-1.719	0.038107866
NCAPG	-1.719	0.171170739
SERPING1	-1.719	0.050903622
POLR1E	-1.719	0.009722415
SPRTN	-1.719	0.002575748
HNRNPA3	-1.718	0.193291192
ALG11	-1.718	0.003810276
MRPL3	-1.715	0.003265994
MRPS22	-1.714	0.002642539
SOD1	-1.714	0.053823797
VASN	-1.713	0.280682019
WRB	-1.713	0.007080217
KCNA2	-1.712	0.024632696
COPB1	-1.711	0.049763423
C6orf132	-1.710	0.365180271
RPLP1	-1.709	0.079941288
SYT8	-1.709	0.515795959
AKT1S1	-1.709	0.067190249
PET117	-1.707	0.007978654
VMP1	-1.706	0.004253134
SMN1	-1.705	0.002703864
SMN2	-1.705	0.002703864
MRPS12	-1.705	0.005266061
MRPL40	-1.705	0.036295756
TNPO3	-1.704	0.013937673
DCTN1	-1.699	0.191821147
STIP1	-1.699	0.000474513
NFKBIE	-1.699	0.185087144
PLXNB3	-1.699	0.293659232
ATP1B3	-1.698	0.014228204
EP400	-1.697	0.068587256
ADAMTS14	-1.697	0.054153678
RBM28	-1.697	0.15329238
CSDE1	-1.696	0.008221493
OGT	-1.696	0.113539425
RTTN	-1.696	0.001080583
PSMD11	-1.696	0.297126103
SRRM2	-1.695	0.085114894
NUDCD3	-1.694	0.001744593
SNRNP27	-1.692	0.01215956
DDX11	-1.691	0.042415308
MED18	-1.689	0.025521125
TBC1D3H	-1.688	0.253208754
PELI3	-1.687	0.067190249
MYLK3	-1.686	0.603340807
TTC31	-1.686	0.27705844
CNOT1	-1.685	0.012069168
CEP57	-1.685	0.018400576
CITED2	-1.684	0.060712033
ASH2L	-1.683	0.074463426
NAA20	-1.682	0.430937114
TPI1	-1.681	0.000951549
MRPL9	-1.680	0.056110432
TFPT	-1.680	0.342090595
LEO1	-1.679	0.008596306
HIP1R	-1.679	0.095389244
FAM25B	-1.679	0.063886377
FAM25G	-1.679	0.063886377
ATXN2L	-1.677	0.251603207
SPTBN2	-1.677	0.101555915
TEX10	-1.676	0.000662268
PABPN1L	-1.676	0.024241446
TUBA8	-1.675	0.163254957
TEFM	-1.675	0.092884974
POLD3	-1.674	0.108925846
TAF8	-1.673	0.014646148
GSPT1	-1.672	0.027294575
CLSPN	-1.672	0.1686483
CAPN12	-1.670	0.336620086
PPFIA4	-1.669	0.283348489
FAM25C	-1.668	0.026952714
NMD3	-1.668	0.01225013
MED26	-1.667	0.035538791
RIOK2	-1.666	0.064127552
ZNF513	-1.666	0.524398658
PIAS4	-1.666	0.004119984
CEP68	-1.666	0.181411014
RIMBP3	-1.665	0.393633567
CCER1	-1.664	0.268107762
GPATCH1	-1.664	0.429624051
SNIP1	-1.664	0.011957937
MED10	-1.663	0.020143646
POLR3B	-1.663	0.006947362
RASGRP2	-1.663	0.000748615
ABT1	-1.662	0.096197518
ELP5	-1.661	0.011753773
NCAN	-1.661	0.075211665
VWA9	-1.661	0.199456683
PRR12	-1.660	0.438490917
IRX6	-1.660	0.705807308
CCDC64	-1.655	0.249498014
MRPL39	-1.655	0.001114023
WDR7	-1.654	0.006187546
NPR1	-1.654	0.586952674
EXOSC10	-1.653	0.017272118
PYGB	-1.652	0.281351815
PPP1R2	-1.651	0.001718383
LSM12	-1.651	0.007489505
THOC5	-1.650	0.002457632
STEAP3	-1.649	0.06751648
SMNDC1	-1.649	0.193915284
PDE4DIP	-1.648	0.023800517
NCOR2	-1.648	0.537164358
CTNNBL1	-1.648	0.000393158
ADAMTSL5	-1.647	0.124360581
ZWINT	-1.647	0.325060654
TAF13	-1.646	0.002042748
SMARCB1	-1.645	0.000208025
CENPT	-1.643	0.016004938
URM1	-1.641	0.012330894
KRT2	-1.639	0.388608554
RHEB	-1.639	0.000637117
PLCB3	-1.638	0.042415308
FNTA	-1.636	0.04501014
MBD3L2	-1.636	0.013937673
TSPYL2	-1.636	0.028704114
AMHR2	-1.635	0.021489937
CDC6	-1.634	0.009581414
HOXC10	-1.632	0.117958564
DNAJB12	-1.631	0.145267775
PHLDB1	-1.631	0.035384765
MYH7B	-1.630	0.174063089
ACBD4	-1.629	0.020211265
SLC12A9	-1.629	0.024971876
PCM1	-1.629	0.001783923
COX7C	-1.628	0.006777236
COPA	-1.625	0.035307782
POT1	-1.625	0.003206909
SUGT1	-1.623	0.312740533
CLEC11A	-1.623	0.431438103
CEP164	-1.622	0.178938648
SMC4	-1.622	0.011212084
EXOC3	-1.621	0.009581414
TIMM44	-1.620	0.005412859
CABIN1	-1.620	0.037852686
THAP11	-1.620	0.038065125
CROCC	-1.619	0.344322262
ART5	-1.617	0.26153132
DARS2	-1.617	0.002917586
METAP2	-1.614	0.093556675
PLEKHG2	-1.614	0.047846802
AKAP1	-1.614	0.301509867
C14orf93	-1.614	0.146069075
ERVW-1	-1.613	0.089354458
ZP1	-1.611	0.178938648
ATP2A2	-1.611	0.021458865
FMNL2	-1.610	0.432769495
LTB	-1.609	0.133035905
GTF3C3	-1.605	0.017649659
INTS8	-1.605	0.002642539
CREBBP	-1.603	0.060744088
TTF1	-1.603	0.071467342
SEPN1	-1.603	0.61051421
IGSF3	-1.603	0.006591383
GFM1	-1.602	0.008095609
PWP1	-1.602	0.007623946
NUP188	-1.602	0.024100918
SYVN1	-1.601	0.061774206
PNISR	-1.601	0.147155581
GFPT1	-1.601	0.000216447
DMAP1	-1.600	0.319525809
LYRM4	-1.600	0.109134696
EIF3F	-1.598	0.019801619
IGBP1	-1.597	0.531932674
STRIP1	-1.596	0.000821448
PEX26	-1.596	0.025416844
MAGOH	-1.596	0.014228204
IPO7	-1.595	0.024449798
TMEM258	-1.595	0.003607911
PBXIP1	-1.595	0.277224902
MYOZ1	-1.594	0.310376329
NHSL1	-1.594	0.399284644
BAZ2A	-1.593	0.010693655
MCRS1	-1.593	0.001520996
PARS2	-1.593	0.115202211
FTH1	-1.592	0.24930994
GNL3L	-1.592	0.006591383
HGS	-1.592	0.028116761
LRPPRC	-1.592	0.00734148
UQCRC1	-1.591	0.015986057
RINT1	-1.591	0.048570935
CTU2	-1.591	0.008269323
GTF2E1	-1.590	0.049330633
ZNRD1	-1.590	0.065473781
HAUS8	-1.589	0.038299354
USP37	-1.589	0.051417138
TBC1D3G	-1.589	0.160458227
MAPK14	-1.588	0.0006361
TTC30B	-1.587	0.565247942
DDX1	-1.586	0.018697724
MNT	-1.586	0.012582901
MIS12	-1.585	0.047554215
ISY1-RAB43	-1.584	0.052460458
PRIM1	-1.584	0.019887158
UQCR10	-1.584	0.139954928
SCN4A	-1.583	0.578963128
GLTSCR2	-1.583	0.094985063
SMARCD1	-1.582	0.020721583
SMTN	-1.582	0.026521898
LCN10	-1.582	0.265694521
BRF1	-1.581	0.274458545
TMCC2	-1.581	0.540707469
ZBTB4	-1.580	0.750303601
SRRM1	-1.578	0.045452185
RILPL2	-1.578	0.56464319
MYO18A	-1.576	0.099207591
COPS3	-1.576	0.046806582
WIBG	-1.575	0.06451174
GPC5	-1.574	0.020823824
MRPL11	-1.574	0.107911102
ACTR1B	-1.574	0.282350502
TRNAU1AP	-1.573	0.003038305
KIFC2	-1.573	0.451319195
PMF1-BGLAP	-1.571	0.124523893
PTEN	-1.571	0.003502134
ACD	-1.570	0.07980734
SNAPC1	-1.570	0.060791238
CTR9	-1.569	0.046463124
CBWD2	-1.568	0.107199722
TRNT1	-1.568	0.106207001
ZBTB7A	-1.567	0.005678506
CCNA2	-1.567	0.040667558
PTF1A	-1.566	0.053350984
SSRP1	-1.566	0.005684371
SLC25A3	-1.566	0.021996588
RPL28	-1.565	0.293597523
RANBP3	-1.564	0.038377643
RPAIN	-1.563	0.018912839
TRAPPC8	-1.562	0.118701255
E4F1	-1.562	0.500452933
GALNT9	-1.561	0.474965356
CCNB1	-1.561	0.194827548
CLASRP	-1.561	0.035538791
GP1BB	-1.559	0.00238756
SNUPN	-1.558	0.011526877
FNBP4	-1.557	0.073383789
USP1	-1.557	0.053597474
C19orf53	-1.555	0.014936313
DDX52	-1.553	0.056689726
CENPV	-1.552	0.189106297
ARCN1	-1.551	0.025250038
DHX36	-1.551	0.025899099
CIAPIN1	-1.550	0.005556385
TCEA1	-1.548	0.019955391
ESRRA	-1.547	0.054153678
SNX18	-1.546	0.076376908
CAND2	-1.546	0.02126747
PRODH	-1.546	0.258982002
FUT11	-1.545	0.064028196
HAUS4	-1.545	0.050151152
MNAT1	-1.545	0.014590205
PTCD3	-1.543	0.047554215
ZBED1	-1.542	0.367591975
SCYL1	-1.542	0.080539249
NUP205	-1.542	0.122336206
GPR182	-1.541	0.401654479
CDCA8	-1.538	0.223990284
GOLGA8A	-1.538	0.474243569
DCAF15	-1.537	0.071200176
AGAP4	-1.537	0.518351378
LUC7L2	-1.534	0.011230159
IVL	-1.533	0.024100918
GBF1	-1.532	0.059011829
RBP3	-1.531	0.084445047
VPS54	-1.531	0.030702603
ATP5F1	-1.531	0.029504862
HCLS1	-1.531	0.661687464
ATXN1L	-1.530	0.08936236
PRCC	-1.530	0.128483303
STRAP	-1.530	0.043856142
KRTAP10-12	-1.528	0.631666047
TAF1B	-1.528	0.069553243
PPP4R2	-1.528	0.161196805
EFNB3	-1.527	0.480087096
